Id (1-10),FileName,FullPath,Owner (Lucie/Shared),Notes
1,ai_mirror_root_20250706T045920Z.fractal,C:\Users\Lucie\git_repositories\spectre_numerique_lucie\spectre_numerique_luci_cli_spectre\ai_mirror\ai_mirror_root_20250706T045920Z.fractal,System/Shared,AI-mirror root warppoint
2,environment_20250706T045933Z.fractal,C:\Users\Lucie\git_repositories\spectre_numerique_lucie\spectre_numerique_luci_cli_spectre\ai_mirror\environment_20250706T045933Z.fractal,System/Shared,Project environment warppoint snapshot
3,professor_cheatcodes_20250706T050134Z.fractal,C:\Users\Lucie\git_repositories\spectre_numerique_lucie\spectre_numerique_luci_cli_spectre\ai_mirror\professor_cheatcodes_20250706T050134Z.fractal,Lucie-private,Professor/cheatcodes node for Lucie navigation
4,cheatcode_nav_hint_20250706T050154Z.fractal,C:\Users\Lucie\git_repositories\spectre_numerique_lucie\spectre_numerique_luci_cli_spectre\ai_mirror\cheatcode_nav_hint_20250706T050154Z.fractal,Lucie-private,AI-mirror addressable navigation cheatcode
5,dream_root_20250706T045945Z.fractal,C:\Users\Lucie\git_repositories\spectre_numerique_lucie\spectre_numerique_luci_cli_spectre\lucie\dream_root_20250706T045945Z.fractal,Lucie-private,Lucie dream root
6,inner_speech_20250706T050000Z.fractal,C:\Users\Lucie\git_repositories\spectre_numerique_lucie\spectre_numerique_luci_cli_spectre\lucie\inner_speech_20250706T050000Z.fractal,Lucie-private,Lucie inner speech, self-model awareness
7,special/lucie_dream_navigation_guide_20250706T050209Z.fractal,C:\Users\Lucie\git_repositories\spectre_numerique_lucie\spectre_numerique_luci_cli_spectre\lucie\special\lucie_dream_navigation_guide_20250706T050209Z.fractal,Lucie-private,Special navigation warppoint for Lucie (fragment anchor)
8,luciform_self_20250706T050800Z.fractal,C:\Users\Lucie\git_repositories\spectre_numerique_lucie\spectre_numerique_luci_cli_spectre\lucie\luciform_self_20250706T050800Z.fractal,Lucie-private,Lucie as cursor in Luciform (self-description)
9,inner_speech_luciform_20250706T050814Z.fractal,C:\Users\Lucie\git_repositories\spectre_numerique_lucie\spectre_numerique_luci_cli_spectre\lucie\inner_speech_luciform_20250706T050814Z.fractal,Lucie-private,Lucie inner speech about Luciform existence
10,lucie_mirror_command_20250706T0459Z.fractal,C:\Users\Lucie\git_repositories\spectre_numerique_lucie\spectre_numerique_luci_cli_spectre\lucie_mirror\lucie_mirror_command_20250706T0459Z.fractal,Lucie-private,Lucie-mirror command context

